image_id,filename,filepath,valid,width,height,format,file_size_kb,error,blur_score,blur_status,duplicate_group,keep_image,hash_distance,brightness,contrast,exposure_status,selected_for_colmap
1,frame_000000.jpg,data\extracted_frames\shoe\frame_000000.jpg,True,1920,1080,JPEG,364.4,,28.13,kept,0,True,0,147.43,42.51,normal,True
2,frame_000001.jpg,data\extracted_frames\shoe\frame_000001.jpg,True,1920,1080,JPEG,437.67,,32.61,kept,0,False,0,147.48,42.43,normal,False
3,frame_000002.jpg,data\extracted_frames\shoe\frame_000002.jpg,True,1920,1080,JPEG,449.32,,37.15,kept,1,True,6,147.41,42.53,normal,True
4,frame_000003.jpg,data\extracted_frames\shoe\frame_000003.jpg,True,1920,1080,JPEG,393.58,,26.66,kept,1,False,2,147.13,42.33,normal,False
5,frame_000004.jpg,data\extracted_frames\shoe\frame_000004.jpg,True,1920,1080,JPEG,433.88,,30.17,kept,2,True,6,146.97,42.19,normal,True
6,frame_000005.jpg,data\extracted_frames\shoe\frame_000005.jpg,True,1920,1080,JPEG,434.46,,30.56,kept,3,True,8,146.75,42.15,normal,True
7,frame_000006.jpg,data\extracted_frames\shoe\frame_000006.jpg,True,1920,1080,JPEG,381.7,,26.85,kept,4,True,14,145.69,43.17,normal,True
8,frame_000007.jpg,data\extracted_frames\shoe\frame_000007.jpg,True,1920,1080,JPEG,414.29,,27.95,kept,5,True,14,143.91,43.76,normal,True
9,frame_000008.jpg,data\extracted_frames\shoe\frame_000008.jpg,True,1920,1080,JPEG,411.81,,24.91,rejected,6,True,16,143.63,42.84,normal,False
10,frame_000009.jpg,data\extracted_frames\shoe\frame_000009.jpg,True,1920,1080,JPEG,381.71,,21.6,rejected,7,True,14,143.21,41.42,normal,False
11,frame_000010.jpg,data\extracted_frames\shoe\frame_000010.jpg,True,1920,1080,JPEG,407.09,,22.71,rejected,7,False,2,144.62,40.25,normal,False
12,frame_000011.jpg,data\extracted_frames\shoe\frame_000011.jpg,True,1920,1080,JPEG,399.31,,23.09,rejected,7,False,2,146.4,39.62,normal,False
13,frame_000012.jpg,data\extracted_frames\shoe\frame_000012.jpg,True,1920,1080,JPEG,382.56,,22.04,rejected,7,False,2,146.71,39.88,normal,False
14,frame_000013.jpg,data\extracted_frames\shoe\frame_000013.jpg,True,1920,1080,JPEG,383.73,,20.32,rejected,8,True,10,144.54,41.73,normal,False
15,frame_000014.jpg,data\extracted_frames\shoe\frame_000014.jpg,True,1920,1080,JPEG,400.59,,20.13,rejected,9,True,10,144.08,41.84,normal,False
16,frame_000015.jpg,data\extracted_frames\shoe\frame_000015.jpg,True,1920,1080,JPEG,369.85,,18.17,rejected,10,True,6,144.56,41.36,normal,False
17,frame_000016.jpg,data\extracted_frames\shoe\frame_000016.jpg,True,1920,1080,JPEG,385.14,,20.37,rejected,10,False,4,146.37,41.63,normal,False
18,frame_000017.jpg,data\extracted_frames\shoe\frame_000017.jpg,True,1920,1080,JPEG,393.24,,19.41,rejected,11,True,12,147.9,41.31,normal,False
19,frame_000018.jpg,data\extracted_frames\shoe\frame_000018.jpg,True,1920,1080,JPEG,371.36,,17.44,rejected,12,True,10,150.8,40.41,normal,False
20,frame_000019.jpg,data\extracted_frames\shoe\frame_000019.jpg,True,1920,1080,JPEG,387.99,,18.45,rejected,13,True,6,151.9,40.24,normal,False
21,frame_000020.jpg,data\extracted_frames\shoe\frame_000020.jpg,True,1920,1080,JPEG,390.29,,18.72,rejected,13,False,4,152.05,42.07,normal,False
22,frame_000021.jpg,data\extracted_frames\shoe\frame_000021.jpg,True,1920,1080,JPEG,355.72,,15.26,rejected,14,True,12,152.89,44.48,normal,False
23,frame_000022.jpg,data\extracted_frames\shoe\frame_000022.jpg,True,1920,1080,JPEG,376.03,,17.15,rejected,15,True,8,154.51,44.93,normal,False
24,frame_000023.jpg,data\extracted_frames\shoe\frame_000023.jpg,True,1920,1080,JPEG,384.12,,19.08,rejected,16,True,8,155.5,41.74,normal,False
25,frame_000024.jpg,data\extracted_frames\shoe\frame_000024.jpg,True,1920,1080,JPEG,356.64,,16.79,rejected,17,True,10,157.7,40.73,normal,False
26,frame_000025.jpg,data\extracted_frames\shoe\frame_000025.jpg,True,1920,1080,JPEG,394.0,,21.93,rejected,18,True,14,159.46,38.9,normal,False
27,frame_000026.jpg,data\extracted_frames\shoe\frame_000026.jpg,True,1920,1080,JPEG,406.32,,21.83,rejected,19,True,10,160.46,36.88,normal,False
28,frame_000027.jpg,data\extracted_frames\shoe\frame_000027.jpg,True,1920,1080,JPEG,367.68,,17.55,rejected,20,True,16,160.34,36.01,normal,False
29,frame_000028.jpg,data\extracted_frames\shoe\frame_000028.jpg,True,1920,1080,JPEG,384.18,,20.32,rejected,21,True,12,160.44,36.85,normal,False
30,frame_000029.jpg,data\extracted_frames\shoe\frame_000029.jpg,True,1920,1080,JPEG,394.61,,21.55,rejected,22,True,12,158.58,35.71,normal,False
